Timestamp;Value
2010-03-30;-4198
2010-03-31;-4202
2010-04-01;-4207
2010-04-02;-4210
2010-04-03;-4213
2010-04-04;-4216
2010-04-05;-4218
2010-04-06;-4220
2010-04-07;-4224
2010-04-08;-4227
2010-04-09;-4230
2010-04-10;-4232
2010-04-11;-4235
2010-04-12;-4238
2010-04-13;-4240
2010-04-14;-4242
2010-04-15;-4244
2010-04-16;-4247
2010-04-17;-4250
2010-04-18;-4253
2010-04-19;-4255
2010-04-20;-4260
2010-04-21;-4263
2010-04-22;-4267
2010-04-23;-4270
2010-04-24;-4273
2010-04-25;-4277
2010-04-26;-4280
2010-04-27;-4283
2010-04-28;-4285
2010-04-29;-4288
2010-04-30;-4278
2010-05-01;-4272
2010-05-02;-4262
2010-05-03;-4253
2010-05-04;-4239
2010-05-05;-4226
2010-05-06;-4218
2010-05-07;-4210
2010-05-08;-4206
2010-05-09;-4202
2010-05-10;-4199
2010-05-11;-4196
2010-05-12;-4193
2010-05-13;-4192
2010-05-14;-4191
2010-05-15;-4190
2010-05-16;-4188
2010-05-17;-4183
2010-05-18;-4179
2010-05-19;-4172
2010-05-20;-4164
2010-05-21;-4142
2010-05-22;-4120
2010-05-23;-4100
2010-05-24;-4087
2010-05-25;-4078
2010-05-26;-4075
2010-05-27;-4073
2010-05-28;-4073
2010-05-29;-4074
2010-05-30;-4078
2010-05-31;-4082
2010-06-01;-4084
2010-06-02;-4081
2010-06-03;-4081
2010-06-04;-4080
2010-06-05;-4076
2010-06-06;-4072
2010-06-07;-4066
2010-06-08;-4063
2010-06-09;-4066
2010-06-10;-4068
2010-06-11;-4071
2010-06-12;-4076
2010-06-13;-4082
2010-06-14;-4085
2010-06-15;-4086
2010-06-16;-4085
2010-06-17;-4082
2010-06-18;-4077
2010-06-19;-4073
2010-06-20;-4074
2010-06-21;-4073
2010-06-22;-4067
2010-06-23;-4068
2010-06-24;-4069
2010-06-25;-4070
2010-06-26;-4073
2010-06-27;-4077
2010-06-28;-4078
2010-06-29;-4081
2010-06-30;-4083
2010-07-01;-4083
2010-07-02;-4084
2010-07-03;-4080
2010-07-04;-4075
2010-07-05;-4070
2010-07-06;-4069
2010-07-07;-4069
2010-07-08;-4071
2010-07-09;-4073
2010-07-10;-4077
2010-07-11;-4081
2010-07-12;-4084
2010-07-13;-4087
2010-07-14;-4091
2010-07-15;-4096
2010-07-16;-4102
2010-07-17;-4102
2010-07-18;-4088
2010-07-19;-4067
2010-07-20;-4049
2010-07-21;-4039
2010-07-22;-4034
2010-07-23;-4030
2010-07-24;-4029
2010-07-25;-4026
2010-07-26;-4020
2010-07-27;-4013
2010-07-28;-3999
2010-07-29;-3993
2010-07-30;-3978
2010-07-31;-3968
2010-08-01;-3966
2010-08-02;-3960
2010-08-03;-3955
2010-08-04;-3951
2010-08-05;-3947
2010-08-06;-3947
2010-08-07;-3946
2010-08-08;-3946
2010-08-09;-3947
2010-08-10;-3948
2010-08-11;-3948
2010-08-12;-3948
2010-08-13;-3948
2010-08-14;-3948
2010-08-15;-3948
2010-08-16;-3951
2010-08-17;-3953
2010-08-18;-3954
2010-08-19;-3957
2010-08-20;-3959
2010-08-21;-3959
2010-08-22;-3954
2010-08-23;-3951
2010-08-24;-3949
2010-08-25;-3950
2010-08-26;-3951
2010-08-27;-3952
2010-08-28;-3955
2010-08-29;-3958
2010-08-30;-3959
2010-08-31;-3963
2010-09-01;-3965
2010-09-02;-3966
2010-09-03;-3966
2010-09-04;-3966
2010-09-05;-3967
2010-09-06;-3968
2010-09-07;-3971
2010-09-08;-3971
2010-09-09;-3969
2010-09-10;-3968
2010-09-11;-3968
2010-09-12;-3967
2010-09-13;-3966
2010-09-14;-3965
2010-09-15;-3964
2010-09-16;-3963
2010-09-17;-3962
2010-09-18;-3958
2010-09-19;-3955
2010-09-20;-3947
2010-09-21;-3944
2010-09-22;-3941
2010-09-23;-3939
2010-09-24;-3938
2010-09-25;-3940
2010-09-26;-3940
2010-09-27;-3940
2010-09-28;-3940
2010-09-29;-3939
2010-09-30;-3938
2010-10-01;-3937
2010-10-02;-3936
2010-10-03;-3937
2010-10-04;-3938
2010-10-05;-3939
2010-10-06;-3939
2010-10-07;-3939
2010-10-08;-3939
2010-10-09;-3939
2010-10-10;-3939
2010-10-11;-3939
2010-10-12;-3942
2010-10-13;-3942
2010-10-14;-3941
2010-10-15;-3940
2010-10-16;-3941
2010-10-17;-3940
2010-10-18;-3941
2010-10-19;-3941
2010-10-20;-3942
2010-10-21;-3944
2010-10-22;-3946
2010-10-23;-3948
2010-10-24;-3949
2010-10-25;-3950
2010-10-26;-3952
2010-10-27;-3953
2010-10-28;-3954
2010-10-29;-3958
2010-10-30;-3960
2010-10-31;-3962
2010-11-01;-3964
2010-11-02;-3968
2010-11-03;-3971
2010-11-04;-3973
2010-11-05;-3975
2010-11-06;-3978
2010-11-07;-3981
2010-11-08;-3983
2010-11-09;-3985
2010-11-10;-3988
2010-11-11;-3990
2010-11-12;-3992
2010-11-13;-3995
2010-11-14;-3997
2010-11-15;-4000
2010-11-16;-4003
2010-11-17;-4007
2010-11-18;-4010
2010-11-19;-4016
2010-11-20;-4018
2010-11-21;-4020
2010-11-22;-4023
2010-11-23;-4025
2010-11-24;-4028
2010-11-25;-4029
2010-11-26;-4033
2010-11-27;-4036
2010-11-28;-4038
2010-11-29;-4040
2010-11-30;-4044
2010-12-01;-4046
2010-12-02;-4047
2010-12-03;-4050
2010-12-04;-4053
2010-12-05;-4055
2010-12-06;-4058
2010-12-07;-4059
2010-12-08;-4062
2010-12-09;-4066
2010-12-10;-4069
2010-12-11;-4071
2010-12-12;-4074
2010-12-13;-4077
2010-12-14;-4079
2010-12-15;-4082
2010-12-16;-4085
2010-12-17;-4088
2010-12-18;-4091
2010-12-19;-4094
2010-12-20;-4096
2010-12-21;-4098
2010-12-22;-4100
2010-12-23;-4102
2010-12-24;-4105
2010-12-25;-4108
2010-12-26;-4112
2010-12-27;-4115
2010-12-28;-4118
2010-12-29;-4121
2010-12-30;-4125
2010-12-31;-4129
2011-01-01;-4130
2011-01-02;-4131
2011-01-03;-4135
2011-01-04;-4139
2011-01-05;-4142
2011-01-06;-4145
2011-01-07;-4149
2011-01-08;-4151
2011-01-09;-4154
2011-01-10;-4157
2011-01-11;-4160
2011-01-12;-4163
2011-01-13;-4167
2011-01-14;-4171
2011-01-15;-4173
2011-01-16;-4176
2011-01-17;-4179
2011-01-18;-4182
2011-01-19;-4186
2011-01-20;-4190
2011-01-21;-4193
2011-01-22;-4197
2011-01-23;-4200
2011-01-24;-4204
2011-01-25;-4208
2011-01-26;-4211
2011-01-27;-4214
2011-01-28;-4217
2011-01-29;-4218
2011-01-30;-4221
2011-01-31;-4226
2011-02-01;-4229
2011-02-02;-4233
2011-02-03;-4236
2011-02-04;-4239
2011-02-05;-4241
2011-02-06;-4244
2011-02-07;-4247
2011-02-08;-4250
2011-02-09;-4254
2011-02-10;-4257
2011-02-11;-4261
2011-02-12;-4263
2011-02-13;-4267
2011-02-14;-4271
2011-02-15;-4274
2011-02-16;-4277
2011-02-17;-4281
2011-02-18;-4285
2011-02-19;-4289
2011-02-20;-4293
2011-02-21;-4297
2011-02-22;-4299
2011-02-23;-4301
2011-02-24;-4305
2011-02-25;-4308
2011-02-26;-4312
2011-02-27;-4315
2011-02-28;-4320
2011-03-01;-4323
2011-03-02;-4326
2011-03-03;-4329
2011-03-04;-4332
2011-03-05;-4336
2011-03-06;-4338
2011-03-07;-4343
2011-03-08;-4344
2011-03-09;-4348
2011-03-10;-4352
2011-03-11;-4355
2011-03-12;-4358
2011-03-13;-4362
2011-03-14;-4365
2011-03-15;-4368
2011-03-16;-4371
2011-03-17;-4374
2011-03-18;-4378
2011-03-19;-4381
2011-03-20;-4383
2011-03-21;-4386
2011-03-22;-4388
2011-03-23;-4392
2011-03-24;-4395
2011-03-25;-4398
2011-03-26;-4401
2011-03-27;-4404
2011-03-28;-4407
2011-03-29;-4411
2011-03-30;-4414
2011-03-31;-4419
2011-04-01;-4420
2011-04-02;-4422
2011-04-03;-4425
2011-04-04;-4429
2011-04-05;-4432
2011-04-06;-4436
2011-04-07;-4439
2011-04-08;-4441
2011-04-09;-4444
2011-04-10;-4447
2011-04-11;-4450
2011-04-12;-4455
2011-04-13;-4460
2011-04-14;-4465
2011-04-15;-4468
2011-04-16;-4471
2011-04-17;-4474
2011-04-18;-4477
2011-04-19;-4481
2011-04-20;-4484
2011-04-21;-4487
2011-04-22;-4490
2011-04-23;-4494
2011-04-24;-4497
2011-04-25;-4500
2011-04-26;-4502
2011-04-27;-4503
2011-04-28;-4505
2011-04-29;-4504
2011-04-30;-4493
2011-05-01;-4490
2011-05-02;-4484
2011-05-03;-4478
2011-05-04;-4471
2011-05-05;-4460
2011-05-06;-4455
2011-05-07;-4451
2011-05-08;-4449
2011-05-09;-4448
2011-05-10;-4447
2011-05-11;-4447
2011-05-12;-4446
2011-05-13;-4446
2011-05-14;-4447
2011-05-15;-4448
2011-05-16;-4449
2011-05-17;-4450
2011-05-18;-4452
2011-05-19;-4454
2011-05-20;-4455
2011-05-21;-4457
2011-05-22;-4457
2011-05-23;-4458
2011-05-24;-4458
2011-05-25;-4455
2011-05-26;-4454
2011-05-27;-4452
2011-05-28;-4453
2011-05-29;-4456
2011-05-30;-4457
2011-05-31;-4450
2011-06-01;-4441
2011-06-02;-4429
2011-06-03;-4418
2011-06-04;-4406
2011-06-05;-4400
2011-06-06;-4400
2011-06-07;-4398
2011-06-08;-4395
2011-06-09;-4393
2011-06-10;-4393
2011-06-11;-4392
2011-06-12;-4391
2011-06-13;-4391
2011-06-14;-4393
2011-06-15;-4395
2011-06-16;-4395
2011-06-17;-4395
2011-06-18;-4397
2011-06-19;-4397
2011-06-20;-4400
